starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 31 11:28:05 2020	1585628885	1910	5067	6976	3953
Tue Mar 31 11:28:05 2020	1585628885	1900	5143	7042	4157
Tue Mar 31 11:28:05 2020	1585628885	1903	5143	7045	4378
Tue Mar 31 11:28:05 2020	1585628885	1903	5143	7046	3697
Tue Mar 31 11:28:05 2020	1585628885	1904	5143	7046	3701
Tue Mar 31 11:28:05 2020	1585628885	1905	5144	7049	3703
Tue Mar 31 11:28:05 2020	1585628885	1908	5142	7049	4386
Tue Mar 31 11:28:05 2020	1585628885	1905	5145	7051	3630
Tue Mar 31 11:28:05 2020	1585628885	1905	5146	7051	3628
Tue Mar 31 11:28:05 2020	1585628885	1905	5146	7051	3631
Tue Mar 31 11:28:05 2020	1585628885	1906	5146	7052	3645
Tue Mar 31 11:28:05 2020	1585628885	1909	5143	7052	4378
Tue Mar 31 11:28:05 2020	1585628885	1912	5142	7054	4114
Tue Mar 31 11:28:05 2020	1585628885	1909	5146	7055	3631
Tue Mar 31 11:28:05 2020	1585628885	3554	3514	7068	2946
Tue Mar 31 11:28:05 2020	1585628885	1900	5170	7069	4452
Tue Mar 31 11:28:05 2020	1585628885	1900	5170	7070	4504
Tue Mar 31 11:28:05 2020	1585628885	1900	5171	7071	4591
Tue Mar 31 11:28:05 2020	1585628885	1901	5171	7072	4591
Tue Mar 31 11:28:05 2020	1585628885	1900	5172	7072	4592
Tue Mar 31 11:28:05 2020	1585628885	1900	5173	7072	4592
Tue Mar 31 11:28:05 2020	1585628885	1902	5170	7072	4453
Tue Mar 31 11:28:05 2020	1585628885	1901	5171	7073	4389
Tue Mar 31 11:28:05 2020	1585628885	1900	5173	7073	4594
Tue Mar 31 11:28:05 2020	1585628885	1903	5171	7074	4454
Tue Mar 31 11:28:05 2020	1585628885	1900	5174	7074	4594
Tue Mar 31 11:28:05 2020	1585628885	1901	5173	7074	4605
Tue Mar 31 11:28:05 2020	1585628885	1900	5175	7075	4606
Tue Mar 31 11:28:05 2020	1585628885	1903	5172	7075	4507
Tue Mar 31 11:28:05 2020	1585628885	1901	5175	7076	4595
Tue Mar 31 11:28:05 2020	1585628885	1903	5173	7076	4593
Tue Mar 31 11:28:05 2020	1585628885	1902	5174	7076	4508
Tue Mar 31 11:28:05 2020	1585628885	1901	5175	7076	4595
Tue Mar 31 11:28:05 2020	1585628885	1903	5174	7076	3640
Tue Mar 31 11:28:05 2020	1585628885	1902	5175	7077	4607
Tue Mar 31 11:28:05 2020	1585628885	1902	5176	7077	4595
Tue Mar 31 11:28:05 2020	1585628885	1902	5175	7077	4608
Tue Mar 31 11:28:05 2020	1585628885	1902	5175	7077	4595
Tue Mar 31 11:28:05 2020	1585628885	1909	5172	7080	4389
Tue Mar 31 11:28:05 2020	1585628885	1908	5173	7081	4592
Tue Mar 31 11:28:05 2020	1585628885	1907	5174	7081	4606
Tue Mar 31 11:28:05 2020	1585628885	1908	5176	7084	4608
Tue Mar 31 11:28:05 2020	1585628885	1911	5174	7085	4606
Tue Mar 31 11:28:05 2020	1585628885	1907	5179	7085	4611
Tue Mar 31 11:28:05 2020	1585628885	1914	5174	7087	4456
Tue Mar 31 11:28:05 2020	1585628885	1908	5180	7088	3704
Tue Mar 31 11:28:05 2020	1585628885	1907	5181	7088	3695
Tue Mar 31 11:28:05 2020	1585628885	1917	5172	7089	4604
Tue Mar 31 11:28:05 2020	1585628885	3553	3539	7092	2951
Tue Mar 31 11:28:05 2020	1585628885	3553	3539	7092	2951
Tue Mar 31 11:28:05 2020	1585628885	3554	3540	7094	2951
Tue Mar 31 11:28:05 2020	1585628885	3555	3540	7094	2950
Tue Mar 31 11:28:05 2020	1585628885	3556	3539	7095	2951
Tue Mar 31 11:28:05 2020	1585628885	3557	3539	7096	2951
Tue Mar 31 11:28:05 2020	1585628885	3555	3541	7096	2951
Tue Mar 31 11:28:05 2020	1585628885	3557	3540	7097	2951
Tue Mar 31 11:28:05 2020	1585628885	1899	5198	7098	4610
Tue Mar 31 11:28:05 2020	1585628885	3557	3540	7098	2951
Tue Mar 31 11:28:05 2020	1585628885	3557	3541	7098	2952
Tue Mar 31 11:28:05 2020	1585628885	3558	3540	7098	2950
Tue Mar 31 11:28:05 2020	1585628885	3559	3539	7099	2951
Tue Mar 31 11:28:05 2020	1585628885	3559	3540	7099	2951
Tue Mar 31 11:28:05 2020	1585628885	1901	5198	7099	4610
Tue Mar 31 11:28:05 2020	1585628885	1900	5199	7100	4611
Tue Mar 31 11:28:05 2020	1585628885	1901	5198	7100	4454
Tue Mar 31 11:28:05 2020	1585628885	1901	5199	7100	4610
Tue Mar 31 11:28:05 2020	1585628885	1902	5198	7100	4593
Tue Mar 31 11:28:05 2020	1585628885	1900	5200	7101	4391
Tue Mar 31 11:28:05 2020	1585628885	3561	3541	7102	2951
Tue Mar 31 11:28:05 2020	1585628885	3557	3545	7102	2952
Tue Mar 31 11:28:05 2020	1585628885	3559	3543	7102	2953
Tue Mar 31 11:28:05 2020	1585628885	1903	5199	7102	4611
Tue Mar 31 11:28:05 2020	1585628885	1907	5197	7103	4605
Tue Mar 31 11:28:05 2020	1585628885	1899	5204	7104	4610
Tue Mar 31 11:28:05 2020	1585628885	3564	3540	7104	2951
Tue Mar 31 11:28:05 2020	1585628885	3560	3545	7105	2951
Tue Mar 31 11:28:05 2020	1585628885	3560	3545	7105	2950
Tue Mar 31 11:28:05 2020	1585628885	1901	5204	7105	4610
Tue Mar 31 11:28:05 2020	1585628885	1901	5205	7105	4610
Tue Mar 31 11:28:05 2020	1585628885	1903	5204	7107	4610
Tue Mar 31 11:28:05 2020	1585628885	1902	5205	7107	4611
Tue Mar 31 11:28:05 2020	1585628885	1906	5202	7109	3627
Tue Mar 31 11:28:05 2020	1585628885	1910	5199	7109	4611
Tue Mar 31 11:28:05 2020	1585628885	1909	5205	7114	4507
Tue Mar 31 11:28:05 2020	1585628885	1918	5202	7120	4604
Tue Mar 31 11:28:05 2020	1585628885	4404	3513	7917	2353
Tue Mar 31 11:28:05 2020	1585628885	3556	4362	7918	3211
Tue Mar 31 11:28:05 2020	1585628885	4403	3516	7919	2363
Tue Mar 31 11:28:05 2020	1585628885	3556	4363	7920	3211
Tue Mar 31 11:28:05 2020	1585628885	1900	6020	7920	4860
Tue Mar 31 11:28:05 2020	1585628885	4402	3518	7921	2363
Tue Mar 31 11:28:05 2020	1585628885	4407	3514	7921	2362
Tue Mar 31 11:28:05 2020	1585628885	4408	3513	7921	2355
Tue Mar 31 11:28:05 2020	1585628885	4399	3522	7921	2367
Tue Mar 31 11:28:05 2020	1585628885	1901	6021	7922	4674
Tue Mar 31 11:28:05 2020	1585628885	4405	3517	7923	2365
Tue Mar 31 11:28:05 2020	1585628885	1905	6018	7923	4626
Tue Mar 31 11:28:05 2020	1585628885	3562	4362	7925	3205
Tue Mar 31 11:28:05 2020	1585628885	4408	3517	7925	2365
Tue Mar 31 11:28:05 2020	1585628885	4410	3516	7925	2363
Tue Mar 31 11:28:05 2020	1585628885	1901	6024	7925	4872
Tue Mar 31 11:28:05 2020	1585628885	1902	6024	7926	4872
Tue Mar 31 11:28:05 2020	1585628885	1905	6022	7928	4795
Tue Mar 31 11:28:05 2020	1585628885	1904	6024	7928	4872
Tue Mar 31 11:28:05 2020	1585628885	1908	6021	7929	4861
Tue Mar 31 11:28:05 2020	1585628885	1904	6025	7929	4873
Tue Mar 31 11:28:05 2020	1585628885	1902	6028	7930	4875
Tue Mar 31 11:28:05 2020	1585628885	1905	6027	7932	4866
Tue Mar 31 11:28:05 2020	1585628885	1905	6028	7933	4872
Tue Mar 31 11:28:05 2020	1585628885	4404	3529	7933	2545
Tue Mar 31 11:28:05 2020	1585628885	1909	6024	7933	4866
Tue Mar 31 11:28:05 2020	1585628885	1906	6028	7934	4875
Tue Mar 31 11:28:05 2020	1585628885	1907	6039	7946	4909
Tue Mar 31 11:28:05 2020	1585628885	4398	3550	7948	2635
Tue Mar 31 11:28:05 2020	1585628885	4400	3551	7951	2635
Tue Mar 31 11:28:05 2020	1585628885	1899	6054	7953	5138
Tue Mar 31 11:28:05 2020	1585628885	4406	3547	7953	2632
Tue Mar 31 11:28:05 2020	1585628885	4403	3550	7954	2590
Tue Mar 31 11:28:05 2020	1585628885	4407	3546	7954	2586
Tue Mar 31 11:28:05 2020	1585628885	1901	6055	7956	5139
Tue Mar 31 11:28:05 2020	1585628885	1901	6056	7957	5140
Tue Mar 31 11:28:05 2020	1585628885	3567	4394	7960	3433
Tue Mar 31 11:28:05 2020	1585628885	1906	6055	7961	5095
Tue Mar 31 11:28:05 2020	1585628885	1906	6056	7961	5095
Tue Mar 31 11:28:05 2020	1585628885	1906	6056	7963	5140
Tue Mar 31 11:28:05 2020	1585628885	4419	3548	7968	2632
Tue Mar 31 11:28:05 2020	1585628885	4401	3822	8222	2632
Tue Mar 31 11:28:05 2020	1585628885	4397	3825	8222	2666
Tue Mar 31 11:28:05 2020	1585628885	4400	3823	8223	2633
Tue Mar 31 11:28:05 2020	1585628885	4403	3820	8223	2661
Tue Mar 31 11:28:05 2020	1585628885	5614	2611	8225	1451
Tue Mar 31 11:28:05 2020	1585628885	1900	6328	8228	5169
Tue Mar 31 11:28:05 2020	1585628885	1901	6329	8229	5112
Tue Mar 31 11:28:05 2020	1585628885	5234	2999	8233	1839
Tue Mar 31 11:28:05 2020	1585628885	1911	6330	8240	5146
Tue Mar 31 11:28:05 2020	1585628885	4402	3842	8244	2690
Tue Mar 31 11:28:05 2020	1585628885	5617	2630	8247	1478
Tue Mar 31 11:28:05 2020	1585628885	1908	6349	8257	5171
Tue Mar 31 11:28:05 2020	1585628885	4405	3931	8335	2695
Tue Mar 31 11:28:05 2020	1585628885	4401	4067	8467	2703
Tue Mar 31 11:28:05 2020	1585628885	1900	6570	8470	5205
Tue Mar 31 11:28:05 2020	1585628885	1901	6637	8538	5206
Tue Mar 31 11:28:05 2020	1585628885	4401	4141	8542	3215
Tue Mar 31 11:28:05 2020	1585628885	5596	2947	8543	2021
Tue Mar 31 11:28:05 2020	1585628885	4399	4145	8544	3219
Tue Mar 31 11:28:05 2020	1585628885	3554	4991	8545	4062
Tue Mar 31 11:28:05 2020	1585628885	5520	3026	8546	2360
Tue Mar 31 11:28:05 2020	1585628885	4405	4141	8546	3221
Tue Mar 31 11:28:05 2020	1585628885	4407	4141	8547	3211
Tue Mar 31 11:28:05 2020	1585628885	5521	3026	8547	2360
Tue Mar 31 11:28:05 2020	1585628885	4404	4144	8548	3218
Tue Mar 31 11:28:05 2020	1585628885	4404	4144	8548	2890
Tue Mar 31 11:28:05 2020	1585628885	5520	3029	8549	2106
Tue Mar 31 11:28:05 2020	1585628885	3559	4991	8551	4062
Tue Mar 31 11:28:05 2020	1585628885	1900	6651	8551	5725
Tue Mar 31 11:28:05 2020	1585628885	1902	6650	8552	5720
Tue Mar 31 11:28:05 2020	1585628885	6501	2053	8554	1399
Tue Mar 31 11:28:05 2020	1585628885	5525	3030	8555	2302
Tue Mar 31 11:28:05 2020	1585628885	6491	2066	8557	1412
Tue Mar 31 11:28:05 2020	1585628885	1906	6653	8559	5733
Tue Mar 31 11:28:05 2020	1585628885	1907	6655	8561	5732
Tue Mar 31 11:28:05 2020	1585628885	5534	3027	8562	2361
Tue Mar 31 11:28:05 2020	1585628885	6513	2053	8567	1399
Tue Mar 31 11:28:05 2020	1585628885	6513	2053	8567	1399
Tue Mar 31 11:28:05 2020	1585628885	6510	2107	8617	1399
